alt_m,temp_K,layer
0,288.15,Troposphere
500,284.9,Troposphere
1000,281.65,Troposphere
1500,278.4,Troposphere
2000,275.15,Troposphere
2500,271.9,Troposphere
3000,268.65,Troposphere
3500,265.4,Troposphere
4000,262.15,Troposphere
4500,258.9,Troposphere
5000,255.65,Troposphere
5500,252.4,Troposphere
6000,249.15,Troposphere
6500,245.9,Troposphere
7000,242.65,Troposphere
7500,239.4,Troposphere
8000,236.15,Troposphere
8500,232.9,Troposphere
9000,229.65,Troposphere
9500,226.4,Troposphere
10000,223.15,Troposphere
10500,219.9,Troposphere
11000,216.65,Troposphere
11500,216.65,Tropopause
12000,216.65,Tropopause
12500,216.65,Tropopause
13000,216.65,Tropopause
13500,216.65,Tropopause
14000,216.65,Tropopause
14500,216.65,Tropopause
15000,216.65,Tropopause
15500,216.65,Tropopause
16000,216.65,Tropopause
16500,216.65,Tropopause
17000,216.65,Tropopause
17500,216.65,Tropopause
18000,216.65,Tropopause
18500,216.65,Tropopause
19000,216.65,Tropopause
19500,216.65,Tropopause
20000,216.65,Tropopause
20500,287.65,Stratosphere
21000,287.15,Stratosphere
21500,286.65,Stratosphere
22000,286.15,Stratosphere
22500,285.65,Stratosphere
23000,285.15,Stratosphere
23500,284.65,Stratosphere
24000,284.15,Stratosphere
24500,283.65,Stratosphere
25000,283.15,Stratosphere
25500,282.65,Stratosphere
26000,282.15,Stratosphere
26500,281.65,Stratosphere
27000,281.15,Stratosphere
27500,280.65,Stratosphere
28000,280.15,Stratosphere
28500,279.65,Stratosphere
29000,279.15,Stratosphere
29500,278.65,Stratosphere
30000,278.15,Stratosphere
30500,277.65,Stratosphere
31000,277.15,Stratosphere
31500,276.65,Stratosphere
32000,276.15,Stratosphere
32500,275.65,Stratosphere
33000,275.15,Stratosphere
33500,274.65,Stratosphere
34000,274.15,Stratosphere
34500,273.65,Stratosphere
35000,273.15,Stratosphere
35500,272.65,Stratosphere
36000,272.15,Stratosphere
36500,271.65,Stratosphere
37000,271.15,Stratosphere
37500,270.65,Stratosphere
38000,270.15,Stratosphere
38500,269.65,Stratosphere
39000,269.15,Stratosphere
39500,268.65,Stratosphere
40000,268.15,Stratosphere
40500,267.65,Stratosphere
41000,267.15,Stratosphere
41500,266.65,Stratosphere
42000,266.15,Stratosphere
42500,265.65,Stratosphere
43000,265.15,Stratosphere
43500,264.65,Stratosphere
44000,264.15,Stratosphere
44500,263.65,Stratosphere
45000,263.15,Stratosphere
45500,262.65,Stratosphere
46000,262.15,Stratosphere
46500,261.65,Stratosphere
47000,261.15,Stratosphere
47500,260.65,Stratosphere
48000,260.15,Stratosphere
48500,259.65,Stratosphere
49000,259.15,Stratosphere
49500,258.65,Stratosphere
50000,258.15,Stratosphere
